snpEff Effect	tranch num	tranch name	snpEff impact	comments
chromosome_number_variation	1	high-priority-exonic	HIGH	
exon_loss_variant	1	high-priority-exonic	HIGH	
frameshift_variant	1	high-priority-exonic	HIGH	
rare_amino_acid_variant	1	high-priority-exonic	HIGH	
splice_acceptor_variant	1	high-priority-exonic	HIGH	
splice_donor_variant	1	high-priority-exonic	HIGH	
start_lost	1	high-priority-exonic	HIGH	
stop_gained	1	high-priority-exonic	HIGH	
stop_lost	1	high-priority-exonic	HIGH	
transcript_ablation	1	high-priority-exonic	HIGH	
3_prime_UTR_truncation	1	high-priority-exonic	MODERATE	
5_prime_UTR_truncation	1	high-priority-exonic	MODERATE	
conservative_inframe_deletion	1	high-priority-exonic	MODERATE	
conservative_inframe_insertion	1	high-priority-exonic	MODERATE	
disruptive_inframe_deletion	1	high-priority-exonic	MODERATE	
disruptive_inframe_insertion	1	high-priority-exonic	MODERATE	
inframe_deletion	1	high-priority-exonic	MODERATE	
inframe_insertion	1	high-priority-exonic	MODERATE	
nonsynonymous_variant	1	high-priority-exonic	MODERATE	
missense_variant	1	high-priority-exonic	MODERATE	
regulatory_region_ablation	1	high-priority-exonic	MODERATE	
TFBS_ablation	1	high-priority-exonic	MODERATE	
5_prime_UTR_premature_start_codon_gain_variant	1	high-priority-exonic	LOW	
initiator_codon_variant	2	low-priority-exonic	LOW	
splice_region_variant	2	low-priority-exonic	LOW	
start_retained	2	low-priority-exonic	LOW	
stop_retained_variant	2	low-priority-exonic	LOW	
synonymous_variant	2	low-priority-exonic	LOW	
3_prime_UTR_variant	2	low-priority-exonic	MODIFIER	
5_prime_UTR_variant	2	low-priority-exonic	MODIFIER	
coding_sequence_variant	2	low-priority-exonic	MODIFIER	
regulatory_region_amplification	2	low-priority-exonic	MODIFIER	
regulatory_region_variant	2	low-priority-exonic	MODIFIER	
TF_binding_site_variant	2	low-priority-exonic	MODIFIER	
TFBS_amplification	2	low-priority-exonic	MODIFIER	
non_coding_transcript_exon_variant	3	misc-exonic	MODIFIER	
non_coding_transcript_variant	3	misc-exonic	MODIFIER	
exon_variant	3	misc-exonic	MODIFIER	
feature_elongation	3	misc-exonic	MODIFIER	
feature_truncation	3	misc-exonic	MODIFIER	
gene_variant	3	misc-exonic	MODIFIER	
mature_miRNA_variant	3	misc-exonic	MODIFIER	
miRNA	3	misc-exonic	MODIFIER	
NMD_transcript_variant	3	misc-exonic	MODIFIER	
transcript_amplification	3	misc-exonic	MODIFIER	
transcript_variant	3	misc-exonic	MODIFIER	
intragenic_variant	4	non-exonic	MODIFIER	
conserved_intron_variant	4	non-exonic	MODIFIER	
intron_variant	4	non-exonic	MODIFIER	
downstream_gene_variant	5	proximal-intergenic	MODIFIER	
upstream_gene_variant	5	proximal-intergenic	MODIFIER	
conserved_intergenic_variant	6	distal-intergenic	MODIFIER	
intergenic_region	6	distal-intergenic	MODIFIER	
NA	7	novel-unknown	NA	
NA	8	error	NA	
