Dec	Hex	Name
0	0000	<control>
1	0001	<control>
2	0002	<control>
3	0003	<control>
4	0004	<control>
5	0005	<control>
6	0006	<control>
7	0007	<control>
8	0008	<control>
9	0009	<control>
10	000A	<control>
11	000B	<control>
12	000C	<control>
13	000D	<control>
14	000E	<control>
15	000F	<control>
16	0010	<control>
17	0011	<control>
18	0012	<control>
19	0013	<control>
20	0014	<control>
21	0015	<control>
22	0016	<control>
23	0017	<control>
24	0018	<control>
25	0019	<control>
26	001A	<control>
27	001B	<control>
28	001C	<control>
29	001D	<control>
30	001E	<control>
31	001F	<control>
32	0020	SPACE
33	0021	EXCLAMATION MARK
34	0022	QUOTATION MARK
35	0023	NUMBER SIGN
36	0024	DOLLAR SIGN
37	0025	PERCENT SIGN
38	0026	AMPERSAND
39	0027	APOSTROPHE
40	0028	LEFT PARENTHESIS
41	0029	RIGHT PARENTHESIS
42	002A	ASTERISK
43	002B	PLUS SIGN
44	002C	COMMA
45	002D	HYPHEN-MINUS
46	002E	FULL STOP
47	002F	SOLIDUS
48	0030	DIGIT ZERO
49	0031	DIGIT ONE
50	0032	DIGIT TWO
51	0033	DIGIT THREE
52	0034	DIGIT FOUR
53	0035	DIGIT FIVE
54	0036	DIGIT SIX
55	0037	DIGIT SEVEN
56	0038	DIGIT EIGHT
57	0039	DIGIT NINE
58	003A	COLON
59	003B	SEMICOLON
60	003C	LESS-THAN SIGN
61	003D	EQUALS SIGN
62	003E	GREATER-THAN SIGN
63	003F	QUESTION MARK
64	0040	COMMERCIAL AT
65	0041	LATIN CAPITAL LETTER A
66	0042	LATIN CAPITAL LETTER B
67	0043	LATIN CAPITAL LETTER C
68	0044	LATIN CAPITAL LETTER D
69	0045	LATIN CAPITAL LETTER E
70	0046	LATIN CAPITAL LETTER F
71	0047	LATIN CAPITAL LETTER G
72	0048	LATIN CAPITAL LETTER H
73	0049	LATIN CAPITAL LETTER I
74	004A	LATIN CAPITAL LETTER J
75	004B	LATIN CAPITAL LETTER K
76	004C	LATIN CAPITAL LETTER L
77	004D	LATIN CAPITAL LETTER M
78	004E	LATIN CAPITAL LETTER N
79	004F	LATIN CAPITAL LETTER O
80	0050	LATIN CAPITAL LETTER P
81	0051	LATIN CAPITAL LETTER Q
82	0052	LATIN CAPITAL LETTER R
83	0053	LATIN CAPITAL LETTER S
84	0054	LATIN CAPITAL LETTER T
85	0055	LATIN CAPITAL LETTER U
86	0056	LATIN CAPITAL LETTER V
87	0057	LATIN CAPITAL LETTER W
88	0058	LATIN CAPITAL LETTER X
89	0059	LATIN CAPITAL LETTER Y
90	005A	LATIN CAPITAL LETTER Z
91	005B	LEFT SQUARE BRACKET
92	005C	REVERSE SOLIDUS
93	005D	RIGHT SQUARE BRACKET
94	005E	CIRCUMFLEX ACCENT
95	005F	LOW LINE
96	0060	GRAVE ACCENT
97	0061	LATIN SMALL LETTER A
98	0062	LATIN SMALL LETTER B
99	0063	LATIN SMALL LETTER C
100	0064	LATIN SMALL LETTER D
101	0065	LATIN SMALL LETTER E
102	0066	LATIN SMALL LETTER F
103	0067	LATIN SMALL LETTER G
104	0068	LATIN SMALL LETTER H
105	0069	LATIN SMALL LETTER I
106	006A	LATIN SMALL LETTER J
107	006B	LATIN SMALL LETTER K
108	006C	LATIN SMALL LETTER L
109	006D	LATIN SMALL LETTER M
110	006E	LATIN SMALL LETTER N
111	006F	LATIN SMALL LETTER O
112	0070	LATIN SMALL LETTER P
113	0071	LATIN SMALL LETTER Q
114	0072	LATIN SMALL LETTER R
115	0073	LATIN SMALL LETTER S
116	0074	LATIN SMALL LETTER T
117	0075	LATIN SMALL LETTER U
118	0076	LATIN SMALL LETTER V
119	0077	LATIN SMALL LETTER W
120	0078	LATIN SMALL LETTER X
121	0079	LATIN SMALL LETTER Y
122	007A	LATIN SMALL LETTER Z
123	007B	LEFT CURLY BRACKET
124	007C	VERTICAL LINE
125	007D	RIGHT CURLY BRACKET
126	007E	TILDE
127	007F	<control>
128	0080	<control>
129	0081	<control>
130	0082	<control>
131	0083	<control>
132	0084	<control>
133	0085	<control>
134	0086	<control>
135	0087	<control>
136	0088	<control>
137	0089	<control>
138	008A	<control>
139	008B	<control>
140	008C	<control>
141	008D	<control>
142	008E	<control>
143	008F	<control>
144	0090	<control>
145	0091	<control>
146	0092	<control>
147	0093	<control>
148	0094	<control>
149	0095	<control>
150	0096	<control>
151	0097	<control>
152	0098	<control>
153	0099	<control>
154	009A	<control>
155	009B	<control>
156	009C	<control>
157	009D	<control>
158	009E	<control>
159	009F	<control>
160	00A0	NO-BREAK SPACE
161	00A1	INVERTED EXCLAMATION MARK
162	00A2	CENT SIGN
163	00A3	POUND SIGN
164	00A4	CURRENCY SIGN
165	00A5	YEN SIGN
